timestamp,segment_time,actual_x,actual_y,actual_yaw,theo_x,theo_y,theo_yaw,err_x,err_y,err_yaw
1777635473.4436667,0.005,0.0000,0.0000,-0.1012,0.0000,0.0000,-0.0960,0.0000,0.0000,-0.0052
1777635474.446199,1.008,0.0000,0.0000,-0.1012,0.2357,0.0000,0.0000,-0.2357,0.0000,-0.1012
1777635475.4523873,2.014,0.0000,0.0000,-0.1012,0.4973,0.0000,0.0000,-0.4973,0.0000,-0.1012
1777635476.5446332,3.106,0.3598,0.0042,-0.0081,0.7813,0.0000,0.0000,-0.4215,0.0042,-0.0081
1777635477.6444285,4.206,0.3598,0.0042,-0.0081,1.0672,0.0000,0.0000,-0.7074,0.0042,-0.0081
1777635478.6456423,5.207,0.3598,0.0042,-0.0081,1.3275,0.0000,0.0000,-0.9677,0.0042,-0.0081
1777635479.7430294,6.305,1.0984,-0.0010,0.0085,1.6129,0.0000,0.0000,-0.5145,-0.0010,0.0085
1777635480.7481797,7.310,1.3230,0.0015,0.0047,1.8000,0.0000,-0.2854,-0.4770,0.0015,0.2901
1777635481.84243,8.404,1.4200,0.0015,-0.0042,1.8000,0.0000,-1.3797,-0.3800,0.0015,1.3755
1777635482.8428936,9.404,1.4200,0.0015,-0.0042,1.8000,0.0000,-1.5708,-0.3800,0.0015,1.5666
1777635483.850735,10.412,1.7030,0.0013,-0.0050,1.8000,0.0000,-1.5708,-0.0970,0.0013,1.5658
1777635484.8522468,11.414,1.7085,0.0013,-0.3677,1.8000,0.0000,-1.5708,-0.0915,0.0013,1.2031
1777635485.9504666,12.512,1.7085,0.0013,-0.5291,1.8000,0.0000,-1.5708,-0.0915,0.0013,1.0417
1777635487.0424213,13.604,1.7085,0.0013,-0.5291,1.8000,0.0000,-1.5708,-0.0915,0.0013,1.0417
1777635487.3601265,0.012,1.7085,0.0013,-0.5291,1.7085,0.0013,-0.5408,0.0000,0.0000,0.0116
1777635488.4586985,1.110,1.7008,-0.1176,-1.6456,1.7122,-0.0400,-1.4796,-0.0114,-0.0776,-0.1659
1777635489.4680254,2.120,1.6942,-0.3091,-1.5751,1.7361,-0.3013,-1.4796,-0.0419,-0.0077,-0.0955
1777635490.5608878,3.212,1.6954,-0.4390,-1.5468,1.7620,-0.5843,-1.4796,-0.0666,0.1453,-0.0671
1777635491.5610676,4.213,1.7004,-0.5837,-1.5197,1.7857,-0.8433,-1.4796,-0.0853,0.2595,-0.0400
1777635492.672758,5.324,1.7004,-0.5837,-1.5197,1.8000,-1.0000,-1.9860,-0.0996,0.4163,0.4664
1777635493.763954,6.415,1.7595,-0.8615,-1.2385,1.8000,-1.0000,-3.0772,-0.0405,0.1385,1.8387
1777635494.8610795,7.513,1.7768,-0.9154,-1.2841,1.8000,-1.0000,-3.1416,-0.0232,0.0846,1.8575
1777635495.9202027,8.572,1.7769,-0.9154,-2.0501,1.8000,-1.0000,-3.1416,-0.0231,0.0846,1.0915
1777635496.9585433,9.610,1.7769,-0.9154,-2.0501,1.8000,-1.0000,-3.1416,-0.0231,0.0846,1.0915
1777635497.9605327,10.612,1.7770,-0.9154,-3.0001,1.8000,-1.0000,-3.1416,-0.0230,0.0846,0.1415
1777635498.4799588,0.016,1.7770,-0.9154,-3.0001,1.7770,-0.9154,-3.0162,0.0000,0.0000,0.0161
1777635499.574229,1.110,1.7130,-0.9119,3.0513,1.5130,-0.9280,-3.0940,0.2000,0.0160,-0.1379
1777635500.576721,2.113,1.5379,-0.9002,3.1046,1.2527,-0.9404,-3.0940,0.2852,0.0402,-0.0846
1777635501.6723297,3.208,1.2787,-0.8987,-3.1300,0.9682,-0.9539,-3.0940,0.3105,0.0552,-0.0360
1777635502.676865,4.213,1.2787,-0.8987,-3.1300,0.7073,-0.9663,-3.0940,0.5714,0.0677,-0.0360
1777635503.7725067,5.309,0.8912,-0.9039,-3.1338,0.4227,-0.9799,-3.0940,0.4685,0.0760,-0.0397
1777635504.7763133,6.312,0.6499,-0.9076,-3.1230,0.1620,-0.9923,-3.0940,0.4878,0.0846,-0.0289
1777635505.871599,7.408,0.6499,-0.9076,-3.1230,0.0000,-1.0000,-3.5654,0.6499,0.0924,0.4425
1777635506.880262,8.416,0.3123,-0.9198,-3.0682,0.0000,-1.0000,-4.5741,0.3123,0.0802,1.5059
1777635507.972011,9.508,0.2525,-0.9276,-2.8988,0.0000,-1.0000,1.5708,0.2525,0.0724,1.8136
1777635508.9752855,10.511,0.0955,-0.9747,-2.8688,0.0000,-1.0000,1.5708,0.0955,0.0253,1.8435
1777635509.9774625,11.514,0.0904,-0.9761,-2.9196,0.0000,-1.0000,1.5708,0.0904,0.0239,1.7928
1777635510.97853,12.515,0.0904,-0.9762,2.7973,0.0000,-1.0000,1.5708,0.0904,0.0238,1.2265
1777635511.9898229,13.526,0.0904,-0.9763,2.0375,0.0000,-1.0000,1.5708,0.0904,0.0237,0.4667
1777635513.078963,14.615,0.0904,-0.9763,1.6050,0.0000,-1.0000,1.5708,0.0904,0.0237,0.0342
1777635513.096786,0.010,0.0904,-0.9763,1.6050,0.0904,-0.9763,1.6154,0.0000,0.0000,-0.0104
1777635514.195604,1.109,0.0978,-0.8489,1.5080,0.0652,-0.7042,1.6631,0.0326,-0.1447,-0.1551
1777635515.1985838,2.112,0.0978,-0.8489,1.5080,0.0412,-0.4445,1.6631,0.0567,-0.4043,-0.1551
1777635516.270292,3.184,0.0872,-0.3813,1.6361,0.0155,-0.1671,1.6631,0.0717,-0.2143,-0.0270
1777635517.2945654,4.208,0.0872,-0.3813,1.6361,0.0000,0.0000,1.2841,0.0872,-0.3813,0.3520
1777635518.294835,5.208,0.0690,-0.2348,1.8642,0.0000,0.0000,0.2839,0.0690,-0.2348,1.5803
1777635519.295717,6.209,0.0690,-0.2348,1.8642,0.0000,0.0000,0.0000,0.0690,-0.2348,1.8642
1777635520.295845,7.209,0.0690,-0.2348,1.8642,0.0000,0.0000,0.0000,0.0690,-0.2348,1.8642
1777635521.394282,8.308,0.0259,-0.0922,1.5812,0.0000,0.0000,0.0000,0.0259,-0.0922,1.5812
1777635522.39511,9.309,0.0259,-0.0922,1.0440,0.0000,0.0000,0.0000,0.0259,-0.0922,1.0440
1777635523.3984115,10.312,0.0258,-0.0922,0.2823,0.0000,0.0000,0.0000,0.0258,-0.0922,0.2823
