timestamp,segment_time,actual_x,actual_y,actual_yaw,theo_x,theo_y,theo_yaw,err_x,err_y,err_yaw
1777634545.8256013,0.003,0.0000,0.0000,1.9423,0.0000,0.0000,1.9393,0.0000,0.0000,0.0031
1777634546.8414261,1.019,0.0000,0.0000,1.9423,0.0000,0.0000,0.9235,0.0000,0.0000,1.0189
1777634547.8624434,2.040,0.0000,0.0000,-3.1302,0.0254,0.0000,0.0000,-0.0254,0.0000,-3.1302
1777634548.8629804,3.040,0.0000,0.0000,-3.1302,0.2855,0.0000,0.0000,-0.2855,0.0000,-3.1302
1777634549.863274,4.041,0.0000,0.0000,-3.1302,0.5456,0.0000,0.0000,-0.5456,0.0000,-3.1302
1777634550.9082747,5.086,0.0000,0.0000,-3.1302,0.8173,0.0000,0.0000,-0.8173,0.0000,-3.1302
1777634551.9088686,6.086,0.0000,0.0000,-1.3436,1.0774,0.0000,0.0000,-1.0774,0.0000,-1.3436
1777634552.9106627,7.088,0.0000,0.0000,-1.0730,1.3379,0.0000,0.0000,-1.3379,0.0000,-1.0730
1777634553.9111905,8.089,0.0000,0.0000,-0.6485,1.5980,0.0000,0.0000,-1.5980,0.0000,-0.6485
1777634554.9320993,9.110,0.0000,0.0000,-0.6485,1.8000,0.0000,-0.2441,-1.8000,0.0000,-0.4044
1777634555.9671702,10.145,0.0802,0.0048,0.4181,1.8000,0.0000,-1.2792,-1.7198,0.0048,1.6973
1777634557.0116947,11.189,0.0802,0.0048,0.7890,1.8000,0.0000,-1.5708,-1.7198,0.0048,2.3598
1777634558.025852,12.203,0.0802,0.0048,0.7890,1.8000,0.0000,-1.5708,-1.7198,0.0048,2.3598
1777634559.0322206,13.210,0.0802,0.0048,0.7890,1.8000,0.0000,-1.5708,-1.7198,0.0048,2.3598
1777634560.0347548,14.212,0.0802,0.0048,0.7890,1.8000,0.0000,-1.5708,-1.7198,0.0048,2.3598
1777634561.071886,15.249,0.0802,0.0048,0.7890,1.8000,0.0000,-1.5708,-1.7198,0.0048,2.3598
1777634562.0849445,16.262,0.0803,0.0047,-2.7545,1.8000,0.0000,-1.5708,-1.7197,0.0047,-1.1837
1777634563.1118073,17.289,0.0803,0.0047,-2.4842,1.8000,0.0000,-1.5708,-1.7197,0.0047,-0.9134
1777634564.1286395,18.306,0.0803,0.0047,-2.3034,1.8000,0.0000,-1.5708,-1.7197,0.0047,-0.7326
1777634565.1310394,19.309,0.0803,0.0047,-1.3452,1.8000,0.0000,-1.5708,-1.7197,0.0047,0.2256
1777634566.167811,20.345,0.0803,0.0047,-1.1600,1.8000,0.0000,-1.5708,-1.7197,0.0047,0.4108
1777634567.209489,21.387,0.0803,0.0047,-0.6395,1.8000,0.0000,-1.5708,-1.7197,0.0047,0.9313
1777634568.2289236,22.406,0.0803,0.0047,-0.3822,1.8000,0.0000,-1.5708,-1.7197,0.0047,1.1885
1777634569.2308462,23.408,0.0803,0.0047,-0.3822,1.8000,0.0000,-1.5708,-1.7197,0.0047,1.1885
1777634570.2343087,24.412,0.1599,0.0077,0.6502,1.8000,0.0000,-1.5708,-1.6401,0.0077,2.2210
1777634571.252072,25.430,0.1599,0.0077,0.6502,1.8000,0.0000,-1.5708,-1.6401,0.0077,2.2210
1777634572.2591212,26.437,0.1600,0.0076,1.5320,1.8000,0.0000,-1.5708,-1.6400,0.0076,3.1028
1777634573.261243,27.439,0.1600,0.0076,1.5320,1.8000,0.0000,-1.5708,-1.6400,0.0076,3.1028
1777634574.2647858,28.442,0.1600,0.0076,2.5873,1.8000,0.0000,-1.5708,-1.6400,0.0076,-2.1250
1777634575.3089952,29.486,0.1600,0.0076,2.5873,1.8000,0.0000,-1.5708,-1.6400,0.0076,-2.1250
1777634576.312715,30.490,0.1600,0.0076,-2.4624,1.8000,0.0000,-1.5708,-1.6400,0.0076,-0.8916
1777634577.328748,31.506,0.1600,0.0076,-1.9970,1.8000,0.0000,-1.5708,-1.6400,0.0076,-0.4262
1777634578.3289313,32.506,0.1600,0.0076,-1.5898,1.8000,0.0000,-1.5708,-1.6400,0.0076,-0.0190
1777634579.3488903,33.526,0.1600,0.0076,-1.5898,1.8000,0.0000,-1.5708,-1.6400,0.0076,-0.0190
1777634580.363474,34.541,0.1600,0.0076,-0.6542,1.8000,0.0000,-1.5708,-1.6400,0.0076,0.9166
1777634581.4102347,35.588,0.1600,0.0076,-0.5091,1.8000,0.0000,-1.5708,-1.6400,0.0076,1.0617
