stamp_sec,stamp_nanosec,x,y,yaw
1777880255,873935703,0.007417,-0.046599,-0.083581
1777880256,852749924,0.007417,-0.046599,-0.083600
1777880258,609449645,0.007417,-0.046599,-0.083610
1777880259,648079675,0.007417,-0.046599,-0.083503
1777880260,62366491,0.007417,-0.046599,-0.083618
1777880264,573134167,0.007417,-0.046599,-0.083884
1777880264,973342934,0.007417,-0.046599,-0.083902
1777880265,150974092,0.007417,-0.046599,-0.083713
1777880266,269604780,0.007417,-0.046599,-0.083771
1777880266,665569253,0.007417,-0.046599,-0.083919
1777880268,43266689,0.007417,-0.046599,-0.083644
1777880268,761772237,0.007417,-0.046599,-0.083516
1777880269,1703000,0.007417,-0.046599,-0.083462
1777880269,818820221,0.007417,-0.046599,-0.083533
1777880270,291494565,0.007417,-0.046599,-0.083495
1777880270,617475139,0.007417,-0.046599,-0.083573
1777880271,996316067,0.007417,-0.046599,-0.083819
1777880272,720745496,0.007417,-0.046599,-0.083578
1777880273,41595091,0.007417,-0.046599,-0.083537
1777880275,59928315,0.007417,-0.046599,-0.083672
1777880276,341939820,0.007417,-0.046599,-0.083350
1777880277,72490685,0.007417,-0.046599,-0.083264
1777880277,228582188,0.007417,-0.046599,-0.083284
1777880277,791187947,0.007417,-0.046599,-0.083290
1777880278,442132033,0.007417,-0.046599,-0.083566
1777880278,597951851,0.007417,-0.046599,-0.083507
1777880278,840694850,0.007417,-0.046599,-0.083418
1777880280,457814522,0.007417,-0.046599,-0.083471
1777880280,700930242,0.007417,-0.046599,-0.083436
1777880281,423653238,0.007417,-0.046599,-0.083400
1777880283,36871927,0.007417,-0.046599,-0.083390
1777880283,518529330,0.007417,-0.046599,-0.083300
1777880284,573934554,0.007417,-0.046599,-0.083468
1777880285,296641214,0.007417,-0.046599,-0.083550
1777880285,696893266,0.007417,-0.046599,-0.083463
1777880285,938807040,0.007417,-0.046599,-0.083387
1777880286,98403132,0.007417,-0.046599,-0.083374
1777880290,870237391,0.007417,-0.046599,-0.083422
1777880291,512468806,0.007417,-0.046599,-0.083248
1777880293,33621372,0.007417,-0.046599,-0.083316
1777880293,275561163,0.007417,-0.046599,-0.083317
1777880294,655158383,0.007417,-0.046599,-0.083207
1777880294,808123236,0.007417,-0.046599,-0.083255
1777880295,212633984,0.007417,-0.046599,-0.082956
1777880295,694977843,0.007417,-0.046599,-0.083436
1777880296,993380339,0.007417,-0.046599,-0.083484
1777880297,557888619,0.007417,-0.046599,-0.083390
1777880300,224490516,0.007417,-0.046599,-0.083502
1777880300,533294849,0.007417,-0.046599,-0.083615
1777880301,99077478,0.007417,-0.046599,-0.083739
1777880301,258027789,0.007417,-0.046599,-0.083787
1777880301,511794754,0.007417,-0.046599,-0.083754
1777880303,35500263,0.007417,-0.046599,-0.083276
1777880304,579915365,0.007417,-0.046599,-0.083632
1777880305,534804134,0.007417,-0.046599,-0.083349
1777880305,785878155,0.007417,-0.046599,-0.083511
1777880310,212977182,0.007417,-0.046599,-0.083242
1777880311,423450016,0.007417,-0.046599,-0.083349
1777880311,902000943,0.007417,-0.046599,-0.083356
1777880314,592732517,0.007417,-0.046599,-0.083612
1777880316,418806223,0.007417,-0.046599,-0.083453
