stamp_sec,stamp_nanosec,x,y,yaw
1777449824,264562584,-0.000025,-0.045518,0.925563
1777449824,264562584,-0.000025,-0.045518,0.925563
1777449824,264562584,-0.000025,-0.045518,0.925563
1777449827,242054434,-0.000085,-0.045448,-0.035882
1777449827,242054434,-0.000085,-0.045448,-0.035882
1777449827,242054434,-0.000085,-0.045448,-0.035882
1777449828,35394174,-0.000086,-0.045445,-0.035980
1777449828,35394174,-0.000086,-0.045445,-0.035980
1777449829,485976284,-0.000085,-0.045444,-0.036486
1777449829,485976284,-0.000085,-0.045444,-0.036486
1777449830,178774617,-0.000086,-0.045444,-0.036270
1777449830,178774617,-0.000086,-0.045444,-0.036270
1777449830,536831265,-0.000086,-0.045444,-0.036107
1777449830,536831265,-0.000086,-0.045444,-0.036107
1777449831,115455598,-0.000086,-0.045444,-0.036057
1777449831,115455598,-0.000086,-0.045444,-0.036057
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449833,918748226,-0.000086,-0.045444,-0.036179
1777449838,765698686,-0.000086,-0.045444,-0.036240
1777449838,765698686,-0.000086,-0.045444,-0.036240
1777449838,765698686,-0.000086,-0.045444,-0.036240
1777449838,765698686,-0.000086,-0.045444,-0.036240
1777449839,484846445,-0.000086,-0.045444,-0.036305
1777449839,484846445,-0.000086,-0.045444,-0.036305
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449839,669499926,-0.000086,-0.045444,-0.036373
1777449841,903460406,-0.000086,-0.045444,-0.036211
1777449841,903460406,-0.000086,-0.045444,-0.036211
1777449841,903460406,-0.000086,-0.045444,-0.036211
1777449841,903460406,-0.000086,-0.045444,-0.036211
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449842,795501221,-0.000086,-0.045444,-0.036387
1777449846,418588756,-0.000086,-0.045444,-0.036317
1777449846,418588756,-0.000086,-0.045444,-0.036317
1777449846,418588756,-0.000086,-0.045444,-0.036317
1777449846,418588756,-0.000086,-0.045444,-0.036317
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449847,231293625,-0.000086,-0.045444,-0.036147
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449848,842396254,-0.000086,-0.045444,-0.036233
1777449850,535824123,-0.000086,-0.045444,-0.035944
1777449850,535824123,-0.000086,-0.045444,-0.035944
1777449850,535824123,-0.000086,-0.045444,-0.035944
1777449850,535824123,-0.000086,-0.045444,-0.035944
1777449850,535824123,-0.000086,-0.045444,-0.035944
