stamp_sec,stamp_nanosec,x,y,yaw
1777881645,579556765,0.000164,-0.017425,-0.031955
1777881646,545709512,0.000164,-0.017425,-0.031935
1777881646,789716557,0.000164,-0.017425,-0.031770
1777881647,191317939,0.000164,-0.017425,-0.031874
1777881647,434118171,0.000164,-0.017425,-0.031872
1777881647,595187190,0.000164,-0.017425,-0.031994
1777881648,319990148,0.000164,-0.017425,-0.031698
1777881648,561133011,0.000164,-0.017425,-0.031687
1777881649,287167226,0.000164,-0.017425,-0.031917
1777881649,530227661,0.000164,-0.017425,-0.031937
1777881649,851675682,0.000164,-0.017425,-0.031954
1777881650,417596933,0.000164,-0.017425,-0.031905
1777881650,657456686,0.000164,-0.017425,-0.031824
1777881650,900100214,0.000164,-0.017425,-0.031882
1777881654,448905412,0.000164,-0.017425,-0.031549
1777881654,690843830,0.000164,-0.017425,-0.031558
1777881655,737728548,0.000164,-0.017425,-0.031680
1777881655,899867659,0.000164,-0.017425,-0.031579
1777881656,625172079,0.000164,-0.017425,-0.031642
1777881657,189406239,0.000164,-0.017425,-0.031695
1777881657,351839812,0.000164,-0.017425,-0.031868
1777881657,593281045,0.000164,-0.017425,-0.031713
1777881657,834599574,0.000164,-0.017425,-0.031663
1777881658,478644,0.000164,-0.017425,-0.031707
1777881658,803455392,0.000164,-0.017425,-0.031661
1777881659,45885161,0.000164,-0.017425,-0.031654
1777881659,690994311,0.000164,-0.017425,-0.031934
1777881659,852525552,0.000164,-0.017425,-0.031833
1777881660,13926423,0.000164,-0.017425,-0.031915
1777881660,415530287,0.000164,-0.017425,-0.031800
1777881660,819758482,0.000164,-0.017425,-0.031842
1777881661,625035431,0.000164,-0.017425,-0.031901
1777881661,787554060,0.000164,-0.017425,-0.031863
1777881662,109498747,0.000164,-0.017425,-0.031937
1777881662,270145137,0.000164,-0.017425,-0.032011
1777881662,434751838,0.000164,-0.017425,-0.032150
1777881662,915609343,0.000164,-0.017425,-0.032032
1777881663,158321001,0.000164,-0.017425,-0.031902
1777881663,399759400,0.000164,-0.017425,-0.031870
1777881663,721299921,0.000164,-0.017425,-0.031833
1777881664,447740469,0.000164,-0.017425,-0.031806
1777881664,689800164,0.000164,-0.017425,-0.031799
1777881665,738425066,0.000164,-0.017425,-0.032020
1777881666,312347216,0.000164,-0.017425,-0.032027
1777881666,866240757,0.000164,-0.017425,-0.031921
1777881667,753283714,0.000164,-0.017425,-0.031820
1777881668,77535139,0.000164,-0.017425,-0.031656
1777881668,398855753,0.000164,-0.017425,-0.031678
1777881668,559816791,0.000164,-0.017425,-0.031761
1777881668,801760579,0.000164,-0.017425,-0.031614
1777881669,689562924,0.000164,-0.017425,-0.031895
1777881669,852235534,0.000164,-0.017425,-0.031908
1777881670,334863722,0.000164,-0.017425,-0.031684
1777881670,577956509,0.000164,-0.017425,-0.031724
1777881670,898529957,0.000164,-0.017425,-0.031845
1777881671,301964356,0.000164,-0.017425,-0.031875
1777881672,594429137,0.000164,-0.017425,-0.032145
1777881672,917916896,0.000164,-0.017425,-0.032245
1777881673,479620429,0.000164,-0.017425,-0.031951
1777881673,883316772,0.000164,-0.017425,-0.031973
1777881674,688840184,0.000164,-0.017425,-0.031981
1777881675,253538732,0.000164,-0.017425,-0.032172
1777881675,657475353,0.000164,-0.017425,-0.032065
1777881676,60228438,0.000164,-0.017425,-0.032053
1777881676,704928275,0.000164,-0.017425,-0.031839
1777881677,107613323,0.000164,-0.017425,-0.031922
1777881677,431677915,0.000164,-0.017425,-0.031960
1777881678,564310786,0.000164,-0.017425,-0.032237
1777881679,691057348,0.000164,-0.017425,-0.032122
1777881680,12471350,0.000164,-0.017425,-0.032121
1777881680,334696630,0.000164,-0.017425,-0.032123
1777881680,494326465,0.000164,-0.017425,-0.032077
1777881680,655681336,0.000164,-0.017425,-0.032248
1777881681,58927680,0.000164,-0.017425,-0.032224
1777881681,462651024,0.000164,-0.017425,-0.032521
1777881682,188633887,0.000164,-0.017425,-0.032416
1777881683,479558521,0.000164,-0.017425,-0.032324
1777881683,639305338,0.000164,-0.017425,-0.032186
1777881683,882387773,0.000164,-0.017425,-0.032088
1777881684,47477603,0.000164,-0.017425,-0.032114
1777881684,445541267,0.000164,-0.017425,-0.032181
1777881685,898877289,0.000164,-0.017425,-0.032272
1777881686,544155217,0.000164,-0.017425,-0.032629
1777881686,865917201,0.000164,-0.017425,-0.032585
1777881687,348857129,0.000164,-0.017425,-0.032602
1777881687,752319417,0.000164,-0.017425,-0.032611
1777881688,236181678,0.000164,-0.017425,-0.032405
1777881688,399033863,0.000164,-0.017425,-0.032217
1777881688,561309233,0.000164,-0.017425,-0.032181
1777881688,962090375,0.000164,-0.017425,-0.032147
1777881689,775376445,0.000164,-0.017425,-0.032134
1777881690,252227232,0.000164,-0.017425,-0.032150
1777881690,493466354,0.000164,-0.017425,-0.032079
1777881690,656107890,0.000164,-0.017425,-0.032175
1777881691,58947401,0.000164,-0.017425,-0.032148
1777881691,300595615,0.000164,-0.017425,-0.032216
1777881691,703839534,0.000164,-0.017425,-0.032176
1777881692,30338679,0.000164,-0.017425,-0.032171
1777881694,67536562,0.000164,-0.017425,-0.032222
1777881694,686661480,0.000164,-0.017425,-0.032449
1777881694,931217951,0.000164,-0.017425,-0.032391
1777881696,138112467,0.000164,-0.017425,-0.032065
1777881696,703201311,0.000164,-0.017425,-0.032008
1777881696,945702950,0.000164,-0.017425,-0.031727
1777881697,186967498,0.000164,-0.017425,-0.031827
1777881697,348727128,0.000164,-0.017425,-0.031747
1777881698,316777724,0.000164,-0.017425,-0.031810
1777881698,638904614,0.000164,-0.017425,-0.031944
1777881700,493594612,0.000164,-0.017425,-0.031646
1777881700,896628030,0.000164,-0.017425,-0.031630
1777881701,299204541,0.000164,-0.017425,-0.031683
1777881702,269576375,0.000164,-0.017425,-0.031905
1777881702,432992577,0.000164,-0.017425,-0.031896
1777881702,670791795,0.000164,-0.017425,-0.031902
1777881703,316870389,0.000164,-0.017425,-0.031932
1777881703,557409030,0.000164,-0.017425,-0.031949
1777881703,962916798,0.000164,-0.017425,-0.031914
1777881704,525205571,0.000164,-0.017425,-0.031994
1777881704,690031327,0.000164,-0.017425,-0.031946
1777881705,251403027,0.000164,-0.017425,-0.031900
1777881705,658001719,0.000164,-0.017425,-0.031948
