label,slam_x,slam_y,slam_yaw_deg,gt_input_dx,gt_input_dy,gt_input_yaw_deg,gt_paper_x,gt_paper_y,gt_paper_yaw_deg,gt_map_x,gt_map_y,gt_map_yaw_deg
3,1.8007982969284058,-1.0007238388061523,-175.90314573947406,-0.05,-0.01,-85.0,1.35,1.79,-85.0,1.79,-0.95,-175
4,0.001866362988948822,-1.007583737373352,85.56064802153708,-0.03,-0.04,173.0,1.37,-0.04,173.0,-0.04,-0.97,83
1,0.000695306807756424,-0.00853017345070839,6.5150457986498106,-0.01,0.02,94.0,0.39,0.02,94.0,0.02,0.01,4.00000000000001
