label,slam_x,slam_y,slam_yaw_deg,gt_input_dx,gt_input_dy,gt_input_yaw_deg,gt_paper_x,gt_paper_y,gt_paper_yaw_deg,gt_map_x,gt_map_y,gt_map_yaw_deg
3,1.800758,-1.000661,-176.122989,-0.05,0.01,-86.0,1.35,1.81,-86.0,1.81,-0.95,-176
4,-0.00164,-0.999862,82.194730,-0.07,-0.02,173.0,1.33,-0.02,173.0,-0.02,-0.93,83
1,0.000214,-0.000288,-5.886167,-0.07,0.01,85.0,0.33,0.01,85.0,0.01,0.07,-4.99999999999999
