seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,-0.021110580394228307,-1.3778439202970754,N/A,N/A,0.0,OK,
2,-0.021110580394228307,0.3721561057799567,N/A,N/A,15.9,OK,
3,0.1403894220272104,0.3721561057799567,N/A,N/A,21.5,OK,
4,0.1403894220272104,-1.3778439202970754,N/A,N/A,35.4,OK,
5,0.3028894244486491,-1.3778439202970754,N/A,N/A,44.3,OK,
6,0.3028894244486491,0.3721561057799567,N/A,N/A,63.1,OK,
7,0.4653894268700878,0.3721561057799567,N/A,N/A,88.8,OK,
8,0.4653894268700878,-1.3778439202970754,N/A,N/A,103.6,OK,
9,0.6278894292915265,-1.3778439202970754,N/A,N/A,109.9,OK,
10,0.6278894292915265,0.3721561057799567,N/A,N/A,123.8,OK,
11,0.7903894317129652,0.3721561057799567,N/A,N/A,134.1,OK,
12,0.7903894317129652,-1.3778439202970754,N/A,N/A,148.2,OK,
13,0.9528894341344039,-1.3778439202970754,N/A,N/A,154.5,OK,
14,0.9528894341344039,0.3721561057799567,N/A,N/A,169.7,OK,
15,1.1153894365558426,0.32215610503489867,N/A,N/A,184.4,OK,
16,1.1153894365558426,-1.3778439202970754,N/A,N/A,197.9,OK,
17,1.2768894389772814,-1.3778439202970754,N/A,N/A,204.0,OK,
18,1.2768894389772814,0.3721561057799567,N/A,N/A,218.9,OK,
19,1.3788894404673973,-1.3778439202970754,N/A,N/A,285.8,FAIL,result_timeout
20,1.3788894404673973,0.3721561057799567,N/A,N/A,285.8,FAIL,result_status:6(ABORTED)
21,1.4268894412124555,0.3721561057799567,N/A,N/A,311.8,OK,
22,1.4268894412124555,-1.3778439202970754,N/A,N/A,325.9,OK,
23,1.5288894427025714,-1.3778439202970754,N/A,N/A,333.5,OK,
24,1.5288894427025714,0.2721561042898406,N/A,N/A,354.0,OK,
25,1.5067167118763711,0.23506870132856195,N/A,N/A,358.3,OK,
26,1.5768894434476297,-1.3778439202970754,N/A,N/A,371.9,OK,
27,1.7288894456828037,-1.3778439202970754,N/A,N/A,381.0,OK,
28,1.7288894456828037,0.32215610503489867,N/A,N/A,396.5,OK,
29,1.877889447917978,0.32215610503489867,N/A,N/A,412.8,OK,
30,1.877889447917978,-1.3778439202970754,N/A,N/A,428.2,OK,
31,2.027889450153152,-1.3778439202970754,N/A,N/A,433.9,OK,
32,2.027889450153152,0.3721561057799567,N/A,N/A,448.6,OK,
33,2.1778894523883263,0.3721561057799567,N/A,N/A,453.9,OK,
34,2.1778894523883263,-1.3778439202970754,N/A,N/A,469.0,OK,
35,2.3268894546235006,-1.3778439202970754,N/A,N/A,478.3,OK,
36,2.3268894546235006,0.3721561057799567,N/A,N/A,494.3,OK,
