seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.0,0.0,N/A,N/A,0.0,OK,
2,-0.013178031384944916,-1.3916561677645511,N/A,N/A,19.4,OK,
3,-0.013178031384944916,0.20491745069622994,N/A,N/A,27.2,OK,
4,0.12382197085022925,0.15491744995117188,N/A,N/A,42.4,OK,
5,0.12382197085022925,-1.385082573890686,N/A,N/A,51.1,OK,
6,0.26182197308540345,-1.335082573145628,N/A,N/A,65.3,OK,
7,0.26182197308540345,0.10491744920611382,N/A,N/A,72.0,OK,
8,0.3998219753205776,0.1864910438250371,N/A,N/A,88.6,OK,
9,0.3998219753205776,-1.335082573145628,N/A,N/A,95.5,OK,
10,0.5378219775557518,-1.385082573890686,N/A,N/A,111.9,OK,
11,0.5378219775557518,0.17449104382503705,N/A,N/A,118.3,OK,
12,0.674821979790926,0.20491745069622994,N/A,N/A,135.5,OK,
13,0.6748350438398424,-1.384837950548034,N/A,N/A,163.2,OK,
14,0.7868219805359841,-1.435082574635744,N/A,N/A,175.4,OK,
15,0.7868219805359841,-0.6941646005496929,N/A,N/A,183.4,OK,
16,0.9333219829574227,-0.7450825634598732,N/A,N/A,192.9,OK,
17,0.9333219829574227,-1.2930005341931632,N/A,N/A,200.6,OK,
18,1.0808219853788614,-1.2350825716555118,N/A,N/A,221.5,OK,
19,1.0808219853788614,-0.8825089721937114,N/A,N/A,229.1,OK,
20,1.2283219878003,-0.8950825656950474,N/A,N/A,239.1,OK,
21,1.2283219878003,-1.2350825716555118,N/A,N/A,248.0,OK,
22,1.374821990221739,-1.1850825709104538,N/A,N/A,256.9,OK,
23,1.37469632861327,-0.8452961374107251,N/A,N/A,287.2,OK,
24,1.4868219909667968,-1.28508257240057,N/A,N/A,316.4,OK,
25,1.4868219909667968,0.20491745069622994,N/A,N/A,323.2,OK,
26,1.6341553266594808,0.25491745144128797,N/A,N/A,339.4,OK,
27,1.6341553266594808,-1.2350825716555118,N/A,N/A,346.6,OK,
28,1.7824886623521647,-1.2350825716555118,N/A,N/A,362.2,OK,
29,1.7824886623521647,0.21582437765507548,N/A,N/A,370.1,OK,
30,1.9308219980448484,0.21749104419756596,N/A,N/A,397.8,OK,
31,1.9308219980448484,-1.28508257240057,N/A,N/A,407.8,OK,
32,2.0791553337375324,-1.335082573145628,N/A,N/A,425.5,OK,
33,2.0791553337375324,0.20491745069622994,N/A,N/A,434.1,OK,
34,2.2274886694302163,0.20491745069622994,N/A,N/A,463.8,OK,
35,2.2274886694302163,-1.335082573145628,N/A,N/A,484.2,OK,
36,2.3748220051229003,-1.385082573890686,N/A,N/A,515.1,OK,
37,2.3749534371230525,0.15615097632800914,N/A,N/A,554.6,OK,
38,0.7868219805359841,-0.286000519664531,N/A,N/A,594.1,OK,
39,0.7868219805359841,0.22349104382503712,N/A,N/A,654.1,FAIL,"NavThrough(2pts,->0.92,0.18): result_timeout"
40,0.7868219805359841,0.22349104382503712,N/A,N/A,654.1,FAIL,result_status:6(ABORTED)
41,0.9208219827711582,0.17749104382503708,N/A,N/A,654.1,FAIL,result_status:6(ABORTED)
42,0.9208219827711582,0.17749104382503708,N/A,N/A,662.9,OK,
43,0.9208219827711582,-0.23508255675435066,N/A,N/A,671.9,OK,
44,1.0558219850063324,-0.1850825560092926,N/A,N/A,679.6,OK,
45,1.0558219850063324,0.15491744995117188,N/A,N/A,687.0,OK,
46,1.1908219872415065,0.15491744995117188,N/A,N/A,696.6,OK,
47,1.1908219872415065,-0.23508255675435066,N/A,N/A,702.8,OK,
48,1.3248219894766808,-0.2850825574994087,N/A,N/A,725.9,OK,
