seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.0,0.0,N/A,N/A,0.0,OK,
2,-0.013178031384944916,-1.3916561677645511,N/A,N/A,19.4,OK,
3,-0.013178031384944916,0.20491745069622994,N/A,N/A,27.4,OK,
4,0.15382197129726408,0.14449104337800225,N/A,N/A,41.5,OK,
5,0.15382197129726408,-1.3746561673175164,N/A,N/A,49.9,OK,
6,0.3218219739794731,-1.335082573145628,N/A,N/A,68.1,OK,
7,0.3218219739794731,0.15491744995117188,N/A,N/A,76.4,OK,
8,0.48982197666168203,0.15491744995117188,N/A,N/A,123.3,OK,
9,0.48982197666168203,-1.385082573890686,N/A,N/A,131.7,OK,
10,0.6578219793438911,-1.385082573890686,N/A,N/A,147.5,OK,
11,0.6578219793438911,0.1944910441230603,N/A,N/A,154.6,OK,
12,0.8248219820261001,0.25491745144128797,N/A,N/A,172.6,OK,
13,0.8247855686241474,-1.4369943571684771,N/A,N/A,214.3,OK,
14,0.9368219827711582,-1.2860005345656922,N/A,N/A,222.3,OK,
15,0.9368219827711582,-0.7441646012947509,N/A,N/A,231.8,OK,
16,1.0824886519213517,-0.8841756387362016,N/A,N/A,239.2,OK,
17,1.0824886519213517,-1.2350825716555118,N/A,N/A,246.0,OK,
18,1.2291553210715453,-1.2350825716555118,N/A,N/A,256.2,OK,
19,1.2291553210715453,-0.8950825656950474,N/A,N/A,263.4,OK,
20,1.374821990221739,-0.8441646027848668,N/A,N/A,273.7,OK,
21,1.3749243739409553,-1.1838755840045416,N/A,N/A,287.3,OK,
22,1.4868219909667968,-1.28508257240057,N/A,N/A,314.2,OK,
23,1.4868219909667968,0.2114910445700951,N/A,N/A,320.7,OK,
24,1.6341553266594808,0.25491745144128797,N/A,N/A,350.6,OK,
25,1.6341553266594808,-1.2350825716555118,N/A,N/A,357.4,OK,
26,1.7824886623521647,-1.2350825716555118,N/A,N/A,373.2,OK,
27,1.7824886623521647,0.304917452186346,N/A,N/A,381.7,OK,
28,1.9308219980448484,0.21749104419756596,N/A,N/A,396.5,OK,
29,1.9308219980448484,-1.28508257240057,N/A,N/A,404.6,OK,
30,2.0791553337375324,-1.335082573145628,N/A,N/A,422.1,OK,
31,2.0791553337375324,0.20491745069622994,N/A,N/A,430.4,OK,
32,2.2274886694302163,0.20491745069622994,N/A,N/A,452.3,OK,
33,2.2274886694302163,-1.335082573145628,N/A,N/A,472.0,OK,
34,2.3748220051229003,-1.385082573890686,N/A,N/A,494.8,OK,
35,2.374692857907174,0.1741854058986981,N/A,N/A,530.1,OK,
36,0.9368219827711582,-0.23600051891947296,N/A,N/A,542.2,OK,
37,0.9368219827711582,0.20491745069622994,N/A,N/A,551.4,OK,
38,1.0824886519213517,0.15491744995117188,N/A,N/A,559.6,OK,
39,1.0824886519213517,-0.1850825560092926,N/A,N/A,566.5,OK,
40,1.2291553210715453,-0.1850825560092926,N/A,N/A,577.2,OK,
41,1.2291553210715453,0.16582437691001764,N/A,N/A,599.9,OK,
42,1.374821990221739,0.25491745144128797,N/A,N/A,612.8,OK,
