seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.0,0.0,N/A,N/A,0.0,OK,
2,-0.0439952606856823,-1.1815219309926033,N/A,N/A,27.9,OK,
3,-0.0439952606856823,0.25847809135913846,N/A,N/A,35.6,OK,
4,0.10300474169850349,0.20847809061408043,N/A,N/A,55.8,OK,
5,0.10300474169850349,-1.1910955247174568,N/A,N/A,63.1,OK,
6,0.25100474408268925,-1.1815219309926033,N/A,N/A,78.0,OK,
7,0.25100474408268925,0.20847809061408043,N/A,N/A,84.4,OK,
8,0.3990047464668751,0.25847809135913846,N/A,N/A,113.4,OK,
9,0.3990047464668751,-1.2315219317376613,N/A,N/A,119.9,OK,
10,0.5470047488510609,-1.2815219324827194,N/A,N/A,138.0,OK,
11,0.5470047488510609,0.2740516846369573,N/A,N/A,146.3,OK,
12,0.6940047512352466,0.2770516844879457,N/A,N/A,162.4,OK,
13,0.694013694575208,-1.2978377798817906,N/A,N/A,190.1,OK,
14,0.8060047519803047,-1.2380955256115265,N/A,N/A,210.2,OK,
15,0.8060047519803047,-0.6906039606318424,N/A,N/A,218.9,OK,
16,0.9400047542154789,-0.7915219242870808,N/A,N/A,227.9,OK,
17,0.9400047542154789,-1.2815219324827194,N/A,N/A,235.7,OK,
18,1.075004756450653,-1.2815219324827194,N/A,N/A,245.2,OK,
19,1.075004756450653,-0.8415219250321389,N/A,N/A,252.8,OK,
20,1.2100047586858271,-0.8415219250321389,N/A,N/A,262.6,OK,
21,1.2100047586858271,-1.2815219324827194,N/A,N/A,269.7,OK,
22,1.3440047609210015,-1.2815219324827194,N/A,N/A,280.4,OK,
23,1.3440370006470566,-0.7918335539949038,N/A,N/A,309.9,OK,
24,1.4560047616660594,-1.2815219324827194,N/A,N/A,340.2,OK,
25,1.4560047616660594,0.2770516844879455,N/A,N/A,347.4,OK,
26,1.6033380973587434,0.25847809135913846,N/A,N/A,363.0,OK,
27,1.6033380973587434,-1.2815219324827194,N/A,N/A,370.8,OK,
28,1.7516714330514274,-1.2315219317376613,N/A,N/A,385.7,OK,
29,1.7516714330514274,0.219385017572926,N/A,N/A,394.0,OK,
30,1.900004768744111,0.15847808986902237,N/A,N/A,411.0,OK,
31,1.900004768744111,-1.2815219324827194,N/A,N/A,423.1,OK,
32,2.048338104436795,-1.3315219332277775,N/A,N/A,448.8,OK,
33,2.048338104436795,0.15847808986902237,N/A,N/A,456.9,OK,
34,2.196671440129479,0.12438501571028111,N/A,N/A,499.2,OK,
35,2.196671440129479,-1.3815219339728355,N/A,N/A,507.3,OK,
36,2.344004775822163,-1.3815219339728355,N/A,N/A,526.0,OK,
37,2.3438740200776085,0.10646544234201931,N/A,N/A,577.7,OK,
38,0.8060047519803047,-0.2824398797466805,N/A,N/A,588.3,OK,
39,0.8060047519803047,0.21505168448794557,N/A,N/A,595.9,OK,
40,0.9400047542154789,0.21105168374288755,N/A,N/A,605.7,OK,
41,0.9400047542154789,-0.23152191683650017,N/A,N/A,613.5,OK,
42,1.075004756450653,-0.23152191683650017,N/A,N/A,673.5,FAIL,"NavThrough(3pts,->1.08,0.25): result_timeout"
43,1.075004756450653,-0.23152191683650017,N/A,N/A,673.6,FAIL,result_status:6(ABORTED)
44,1.075004756450653,0.007264883825722629,N/A,N/A,673.6,FAIL,result_status:6(ABORTED)
45,1.075004756450653,0.24605168448794545,N/A,N/A,673.6,FAIL,result_status:6(ABORTED)
46,1.075004756450653,0.24605168448794545,N/A,N/A,724.7,FAIL,"NavThrough(2pts,->1.21,0.21): result_status:6(ABORTED)"
47,1.075004756450653,0.24605168448794545,N/A,N/A,738.1,FAIL,result_status:6(ABORTED)
48,1.2100047586858271,0.20847809061408043,N/A,N/A,738.2,FAIL,goal_rejected
49,1.2100047586858271,0.20847809061408043,N/A,N/A,738.2,FAIL,"NavThrough(3pts,->1.21,-0.28): goal_rejected"
50,1.2100047586858271,0.20847809061408043,N/A,N/A,738.2,FAIL,goal_rejected
51,1.2100047586858271,-0.03652191348373887,N/A,N/A,738.2,FAIL,goal_rejected
52,1.2100047586858271,-0.2815219175815582,N/A,N/A,738.2,FAIL,goal_rejected
53,1.2100047586858271,-0.2815219175815582,N/A,N/A,738.2,FAIL,"NavThrough(2pts,->1.34,-0.38): goal_rejected"
54,1.2100047586858271,-0.2815219175815582,N/A,N/A,738.2,FAIL,goal_rejected
55,1.3440047609210015,-0.3815219190716743,N/A,N/A,738.2,FAIL,goal_rejected
56,1.3440047609210015,-0.3815219190716743,N/A,N/A,738.2,FAIL,"NavThrough(3pts,->1.34,0.22): goal_rejected"
57,1.3440047609210015,-0.3815219190716743,N/A,N/A,738.2,FAIL,goal_rejected
58,1.3440047609210015,-0.08323511729186439,N/A,N/A,738.2,FAIL,goal_rejected
59,1.3440047609210015,0.21505168448794557,N/A,N/A,738.2,FAIL,goal_rejected
