seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.0,0.0,N/A,N/A,0.0,OK,
2,-0.013178031384944916,-1.3916561677645511,N/A,N/A,18.4,OK,
3,-0.013178031384944916,0.20491745069622994,N/A,N/A,25.8,OK,
4,0.1438219711482525,0.15449104352701384,N/A,N/A,42.4,OK,
5,0.1438219711482525,-1.3846561674665279,N/A,N/A,50.9,OK,
6,0.3018219736814499,-1.335082573145628,N/A,N/A,64.9,OK,
7,0.3018219736814499,0.13849104293096745,N/A,N/A,72.1,OK,
8,0.45982197621464727,0.15491744995117188,N/A,N/A,86.9,OK,
9,0.45982197621464727,-1.335082573145628,N/A,N/A,99.7,OK,
10,0.6178219787478447,-1.385082573890686,N/A,N/A,118.2,OK,
11,0.6178219787478447,0.1544910435270139,N/A,N/A,131.3,OK,
12,0.7748219812810421,0.21149104457009507,N/A,N/A,146.3,OK,
13,0.775039306104215,-1.3836066889579806,N/A,N/A,171.6,OK,
14,0.8868219820261002,-1.3860005360558083,N/A,N/A,182.1,OK,
15,0.8868219820261002,-0.7441646012947509,N/A,N/A,191.3,OK,
16,1.0491553180913131,-0.8508423049061629,N/A,N/A,199.9,OK,
17,1.0491553180913131,-1.2350825716555118,N/A,N/A,207.6,OK,
18,1.2124886541565258,-1.2350825716555118,N/A,N/A,216.2,OK,
19,1.2124886541565258,-0.8950825656950474,N/A,N/A,222.5,OK,
20,1.374821990221739,-0.8441646027848668,N/A,N/A,231.3,OK,
21,1.375146614237992,-1.1822390378864307,N/A,N/A,245.0,OK,
22,1.4868219909667968,-1.28508257240057,N/A,N/A,266.3,OK,
23,1.4868219909667968,0.20491745069622994,N/A,N/A,273.1,OK,
24,1.6341553266594808,0.20491745069622994,N/A,N/A,287.8,OK,
25,1.6341553266594808,-1.2350825716555118,N/A,N/A,295.6,OK,
26,1.7824886623521647,-1.2350825716555118,N/A,N/A,311.5,OK,
27,1.7824886623521647,0.304917452186346,N/A,N/A,321.0,OK,
28,1.9308219980448484,0.1674910434525079,N/A,N/A,334.0,OK,
29,1.9308219980448484,-1.28508257240057,N/A,N/A,341.0,OK,
30,2.0791553337375324,-1.335082573145628,N/A,N/A,357.0,OK,
31,2.0791553337375324,0.1658243769100179,N/A,N/A,364.7,OK,
32,2.2274886694302163,0.15491744995117188,N/A,N/A,379.0,OK,
33,2.2274886694302163,-1.335082573145628,N/A,N/A,388.2,OK,
34,2.3748220051229003,-1.385082573890686,N/A,N/A,402.8,OK,
35,2.3746849281310793,0.10242628110761014,N/A,N/A,442.5,OK,
36,0.8868219820261002,-0.286000519664531,N/A,N/A,451.7,OK,
37,0.8868219820261002,0.161491043825037,N/A,N/A,460.1,OK,
38,1.0324886511762936,0.11915770924994018,N/A,N/A,468.4,OK,
39,1.0324886511762936,-0.23508255675435066,N/A,N/A,475.9,OK,
40,1.1791553203264873,-0.23508255675435066,N/A,N/A,485.2,OK,
41,1.1791553203264873,0.15491744995117188,N/A,N/A,492.2,OK,
42,1.3248219894766808,0.20583541286135246,N/A,N/A,502.0,OK,
