seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.0,0.0,N/A,N/A,0.0,OK,
2,-0.0439952606856823,-1.1815219309926033,N/A,N/A,28.9,OK,
3,-0.0439952606856823,0.25847809135913846,N/A,N/A,36.6,OK,
4,0.10300474169850349,0.20847809061408043,N/A,N/A,56.8,OK,
5,0.10300474169850349,-1.1910955247174568,N/A,N/A,64.4,OK,
6,0.25100474408268925,-1.1815219309926033,N/A,N/A,79.1,OK,
7,0.25100474408268925,0.20847809061408043,N/A,N/A,85.4,OK,
8,0.3990047464668751,0.25847809135913846,N/A,N/A,101.8,OK,
9,0.3990047464668751,-1.2315219317376613,N/A,N/A,109.7,OK,
10,0.5470047488510609,-1.2815219324827194,N/A,N/A,138.9,OK,
11,0.5470047488510609,0.2740516846369573,N/A,N/A,145.8,OK,
12,0.6940047512352466,0.3084780921041965,N/A,N/A,162.5,OK,
13,0.6937444367489288,-1.3000742721075114,N/A,N/A,190.5,OK,
14,0.8060047519803047,-1.2380955256115265,N/A,N/A,200.3,OK,
15,0.8060047519803047,-0.6906039606318424,N/A,N/A,208.8,OK,
16,0.9400047542154789,-0.7915219242870808,N/A,N/A,217.8,OK,
17,0.9400047542154789,-1.2815219324827194,N/A,N/A,225.6,OK,
18,1.075004756450653,-1.2815219324827194,N/A,N/A,234.7,OK,
19,1.075004756450653,-0.8415219250321389,N/A,N/A,242.2,OK,
20,1.2100047586858271,-0.8415219250321389,N/A,N/A,251.9,OK,
21,1.2100047586858271,-1.2815219324827194,N/A,N/A,258.9,OK,
22,1.3440047609210015,-1.2815219324827194,N/A,N/A,269.4,OK,
23,1.343916943274464,-0.7899984813963734,N/A,N/A,293.6,OK,
24,1.4560047616660594,-1.2815219324827194,N/A,N/A,333.9,OK,
25,1.4560047616660594,0.2770516844879455,N/A,N/A,340.9,OK,
26,1.6033380973587434,0.2677183517754938,N/A,N/A,371.7,OK,
27,1.6033380973587434,-1.2815219324827194,N/A,N/A,381.4,OK,
28,1.7516714330514274,-1.2315219317376613,N/A,N/A,396.8,OK,
29,1.7516714330514274,0.26938501831798406,N/A,N/A,405.3,OK,
30,1.900004768744111,0.20847809061408043,N/A,N/A,422.0,OK,
31,1.900004768744111,-1.2815219324827194,N/A,N/A,428.7,OK,
32,2.048338104436795,-1.3315219332277775,N/A,N/A,464.6,OK,
33,2.048338104436795,0.20847809061408043,N/A,N/A,472.9,OK,
34,2.196671440129479,0.15847808986902237,N/A,N/A,530.6,OK,
35,2.196671440129479,-1.3815219339728355,N/A,N/A,538.0,OK,
36,2.344004775822163,-1.3815219339728355,N/A,N/A,553.8,OK,
37,2.3434528917201596,0.1565147245899549,N/A,N/A,590.7,OK,
38,0.8060047519803047,-0.2824398797466805,N/A,N/A,601.8,OK,
39,0.8060047519803047,0.25847809135913846,N/A,N/A,609.2,OK,
40,0.9400047542154789,0.21105168374288755,N/A,N/A,618.5,OK,
41,0.9400047542154789,-0.23152191683650017,N/A,N/A,626.2,OK,
42,1.075004756450653,-0.23152191683650017,N/A,N/A,636.6,OK,
43,1.075004756450653,0.25847809135913846,N/A,N/A,645.4,OK,
44,1.2100047586858271,0.20847809061408043,N/A,N/A,654.6,OK,
45,1.2100047586858271,-0.2815219175815582,N/A,N/A,663.4,OK,
46,1.3440047609210015,-0.3815219190716743,N/A,N/A,676.8,OK,
