seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.006821969360113144,-1.415082573890686,N/A,N/A,0.0,OK,
2,0.006821969360113144,0.23391745069622993,N/A,N/A,18.6,OK,
3,0.16582197174429894,0.17491744980216026,N/A,N/A,26.6,OK,
4,0.16582197174429894,-1.4050825737416743,N/A,N/A,41.3,OK,
5,0.32582197412848474,-1.365082573145628,N/A,N/A,49.9,OK,
6,0.32582197412848474,0.18491744995117188,N/A,N/A,65.3,OK,
7,0.48582197651267056,0.18491744995117188,N/A,N/A,73.4,OK,
8,0.48582197651267056,-1.415082573890686,N/A,N/A,94.7,OK,
9,0.6458219788968563,-1.415082573890686,N/A,N/A,104.5,OK,
10,0.6458219788968563,0.22491745054721834,N/A,N/A,120.4,OK,
11,0.8048219812810421,0.283917451441288,N/A,N/A,126.1,OK,
12,0.8048219812810421,-1.415082573890686,N/A,N/A,143.9,OK,
13,0.8568219820261002,-1.415082573890686,N/A,N/A,159.5,OK,
14,0.8568219820261002,-0.6170825619697571,N/A,N/A,170.3,OK,
15,0.9933219840750098,-0.7900825645774603,N/A,N/A,182.3,OK,
16,1.0058219842612743,-1.2650825716555119,N/A,N/A,189.9,OK,
17,1.1308219861239195,-1.2650825716555119,N/A,N/A,199.5,OK,
18,1.1308219861239195,-0.8650825656950474,N/A,N/A,208.6,OK,
19,1.2683219881728292,-0.8525825655087829,N/A,N/A,215.0,OK,
20,1.2683219881728292,-1.2525825714692473,N/A,N/A,224.8,OK,
21,1.404821990221739,-1.2650825716555119,N/A,N/A,232.1,OK,
22,1.404821990221739,-0.7650825642049313,N/A,N/A,241.6,OK,
23,1.4568219909667968,-1.31508257240057,N/A,N/A,264.7,OK,
24,1.4568219909667968,0.2839174514412881,N/A,N/A,284.4,OK,
25,1.5028083808271049,0.20942993200588944,N/A,N/A,295.8,OK,
26,1.605821993201971,-1.2650825716555119,N/A,N/A,322.4,OK,
27,1.7558219954371452,-1.31508257240057,N/A,N/A,332.8,OK,
28,1.7558219954371452,0.33491745218634605,N/A,N/A,350.0,OK,
29,1.9058219976723194,0.284917451441288,N/A,N/A,358.4,OK,
30,1.9058219976723194,-1.365082573145628,N/A,N/A,409.1,OK,
31,2.0558219999074936,-1.365082573145628,N/A,N/A,430.1,OK,
32,2.0558219999074936,0.23491745069622993,N/A,N/A,446.4,OK,
33,2.2058220021426678,0.23491745069622993,N/A,N/A,453.2,OK,
34,2.2058220021426678,-1.365082573145628,N/A,N/A,468.4,OK,
35,2.354822004377842,-1.415082573890686,N/A,N/A,475.5,OK,
36,2.354822004377842,0.23491745069622993,N/A,N/A,491.2,OK,
37,0.8568219820261002,-0.41308255898952484,N/A,N/A,521.1,OK,
38,0.8558219820261002,-0.2150825560092926,N/A,N/A,529.0,OK,
39,0.8558219820261002,-0.2150825560092926,N/A,N/A,534.8,OK,
40,1.0224886511762936,-0.26508255675435066,N/A,N/A,543.3,OK,
41,1.1891553203264873,-0.2150825560092926,N/A,N/A,557.0,OK,
42,1.2058219872415066,-0.015082553029060364,N/A,N/A,565.1,OK,
43,1.2058219872415066,-0.015082553029060364,N/A,N/A,571.0,OK,
44,1.3548219894766809,-0.26508255675435066,N/A,N/A,583.5,OK,
